Object ID:1
Tracking Start:2018-11-09 19:02:58
2018-11-09 19:04:11[ 320.5  233.5]
2018-11-09 19:04:11[ 316.5  234.5]
2018-11-09 19:04:11[ 322.  238.]
2018-11-09 19:04:11[ 321.5  242.5]
2018-11-09 19:04:12[ 318.  242.]
2018-11-09 19:04:12[ 311.5  228.5]
2018-11-09 19:04:12[ 306.  222.]
2018-11-09 19:04:13[ 283.  201.]
2018-11-09 19:04:13[ 283.  201.]
2018-11-09 19:04:13[ 301.5  217.5]
2018-11-09 19:04:13[ 310.5  207.5]
2018-11-09 19:04:14[ 312.5  206.5]
2018-11-09 19:04:14[ 311.  208.]
2018-11-09 19:04:15[ 310.  210.]
2018-11-09 19:04:15[ 310.  210.]
2018-11-09 19:04:15[ 309.5  208.5]
2018-11-09 19:04:15[ 308.  211.]
2018-11-09 19:04:16[ 311.5  211.5]
2018-11-09 19:04:16[ 304.  213.]
2018-11-09 19:04:16[ 307.  213.]
2018-11-09 19:04:16[ 307.  213.]
2018-11-09 19:04:16[ 310.  213.]
2018-11-09 19:04:17[ 303.  213.]
2018-11-09 19:04:17[ 306.  214.]
2018-11-09 19:04:17[ 303.5  214.5]
2018-11-09 19:04:17[ 301.5  213.5]
2018-11-09 19:04:18[ 300.5  214.5]
2018-11-09 19:04:18[ 302.5  214.5]
2018-11-09 19:04:19[ 301.  217.]
2018-11-09 19:04:19[ 302.  215.]
2018-11-09 19:04:19[ 301.  216.]
2018-11-09 19:04:20[ 302.  215.]
2018-11-09 19:04:20[ 303.  213.]
2018-11-09 19:04:21[ 302.5  219.5]
2018-11-09 19:04:21[ 309.5  217.5]
2018-11-09 19:04:21[ 309.5  217.5]
2018-11-09 19:04:21[ 322.5  219.5]
2018-11-09 19:04:22[ 331.  219.]
2018-11-09 19:04:22[ 271.5  199.5]
Tracking End:2018-11-09 19:04:22

Object ID:5
Tracking Start:2018-11-09 19:04:27
2018-11-09 19:04:27[ 183.  204.]
2018-11-09 19:04:27[ 218.  212.]
2018-11-09 19:04:27[ 243.  220.]
2018-11-09 19:04:28[ 259.5  226.5]
2018-11-09 19:04:28[ 364.  264.]
2018-11-09 19:04:29[ 355.  260.]
2018-11-09 19:04:29[ 343.5  261.5]
2018-11-09 19:04:29[ 343.5  261.5]
2018-11-09 19:04:29[ 330.  270.]
2018-11-09 19:04:29[ 343.  249.]
2018-11-09 19:04:30[ 362.  251.]
2018-11-09 19:04:30[ 399.  242.]
2018-11-09 19:04:30[ 419.5  234.5]
2018-11-09 19:04:30[ 406.5  218.5]
2018-11-09 19:04:31[ 388.  200.]
2018-11-09 19:04:31[ 368.5  193.5]
2018-11-09 19:04:31[ 345.5  190.5]
2018-11-09 19:04:32[ 249.  213.]
2018-11-09 19:04:32[ 264.  216.]
2018-11-09 19:04:32[ 277.5  215.5]
2018-11-09 19:04:32[ 277.5  215.5]
2018-11-09 19:04:32[ 297.5  215.5]
2018-11-09 19:04:33[ 342.  212.]
2018-11-09 19:04:33[ 383.  229.]
2018-11-09 19:04:34[ 349.  241.]
2018-11-09 19:04:34[ 341.  250.]
2018-11-09 19:04:35[ 326.  242.]
2018-11-09 19:04:35[ 322.  241.]
2018-11-09 19:04:35[ 323.5  234.5]
2018-11-09 19:04:35[ 319.  229.]
2018-11-09 19:04:36[ 316.  169.]
2018-11-09 19:04:36[ 320.  175.]
2018-11-09 19:04:36[ 320.  175.]
2018-11-09 19:04:36[ 320.  187.]
2018-11-09 19:04:36[ 320.  187.]
2018-11-09 19:04:37[ 312.  192.]
2018-11-09 19:04:38[ 304.  197.]
2018-11-09 19:04:38[ 302.5  196.5]
2018-11-09 19:04:38[ 302.5  196.5]
2018-11-09 19:04:38[ 307.  197.]
2018-11-09 19:04:38[ 309.  199.]
2018-11-09 19:04:39[ 267.5  185.5]
Tracking End:2018-11-09 19:04:39

Object ID:6
Tracking Start:2018-11-09 19:04:47
2018-11-09 19:04:47[ 197.  197.]
2018-11-09 19:04:47[ 240.5  203.5]
2018-11-09 19:04:47[ 240.5  203.5]
2018-11-09 19:04:47[ 262.  206.]
2018-11-09 19:04:47[ 276.  210.]
2018-11-09 19:04:48[ 285.  210.]
2018-11-09 19:04:48[ 304.  222.]
2018-11-09 19:04:48[ 317.5  230.5]
2018-11-09 19:04:48[ 321.5  232.5]
2018-11-09 19:04:49[ 329.  232.]
2018-11-09 19:04:49[ 355.  232.]
2018-11-09 19:04:50[ 361.5  237.5]
2018-11-09 19:04:50[ 378.  237.]
2018-11-09 19:04:50[ 387.5  235.5]
2018-11-09 19:04:50[ 386.5  230.5]
2018-11-09 19:04:51[ 384.5  234.5]
2018-11-09 19:04:51[ 384.5  234.5]
2018-11-09 19:04:51[ 382.  235.]
2018-11-09 19:04:52[ 378.  234.]
2018-11-09 19:04:52[ 379.  231.]
2018-11-09 19:04:52[ 371.5  223.5]
2018-11-09 19:04:53[ 354.  224.]
2018-11-09 19:04:53[ 206.  150.]
Tracking End:2018-11-09 19:04:53

Object ID:7
Tracking Start:2018-11-09 19:05:03
2018-11-09 19:05:03[ 143.  227.]
2018-11-09 19:05:03[ 164.5  221.5]
2018-11-09 19:05:03[ 191.  225.]
2018-11-09 19:05:04[ 266.  236.]
2018-11-09 19:05:04[ 266.  236.]
2018-11-09 19:05:04[ 289.  235.]
2018-11-09 19:05:04[ 300.  237.]
2018-11-09 19:05:05[ 336.  241.]
2018-11-09 19:05:06[ 365.  240.]
2018-11-09 19:05:06[ 363.  239.]
2018-11-09 19:05:06[ 361.5  239.5]
2018-11-09 19:05:06[ 361.5  237.5]
2018-11-09 19:05:07[ 360.5  237.5]
2018-11-09 19:05:07[ 360.5  236.5]
2018-11-09 19:05:07[ 352.5  228.5]
2018-11-09 19:05:08[ 331.  220.]
2018-11-09 19:05:08[ 292.  209.]
2018-11-09 19:05:08[ 268.5  205.5]
2018-11-09 19:05:08[ 205.  206.]
2018-11-09 19:05:09[ 220.  212.]
2018-11-09 19:05:09[ 220.  212.]
2018-11-09 19:05:09[ 224.5  210.5]
2018-11-09 19:05:10[ 216.5  202.5]
2018-11-09 19:05:10[ 179.  169.]
2018-11-09 19:05:10[ 166.5  158.5]
Tracking End:2018-11-09 19:05:10

Object ID:8
Tracking Start:2018-11-09 19:05:18
2018-11-09 19:05:18[ 78.5  24.5]
Tracking End:2018-11-09 19:05:18

Object ID:9
Tracking Start:2018-11-09 19:05:30
2018-11-09 19:05:30[ 199.5  130.5]
2018-11-09 19:05:30[ 171.  109.]
2018-11-09 19:05:30[ 159.  103.]
Tracking End:2018-11-09 19:05:30

Object ID:10
Tracking Start:2018-11-09 19:05:33
2018-11-09 19:05:33[  87.  264.]
2018-11-09 19:05:33[  87.  258.]
2018-11-09 19:05:35[  86.  276.]
2018-11-09 19:05:35[  82.  276.]
2018-11-09 19:05:36[ 112.5  162.5]
Tracking End:2018-11-09 19:05:36

Object ID:12
Tracking Start:2018-11-09 19:05:45
2018-11-09 19:05:45[ 346.5  138.5]
2018-11-09 19:05:45[ 299.5  174.5]
Tracking End:2018-11-09 19:05:45

Object ID:11
Tracking Start:2018-11-09 19:05:45
2018-11-09 19:05:45[ 437.5  345.5]
2018-11-09 19:05:46[ 390.5  269.5]
Tracking End:2018-11-09 19:05:46

Object ID:13
Tracking Start:2018-11-09 19:06:12
2018-11-09 19:06:12[ 427.5   44.5]
Tracking End:2018-11-09 19:06:12

Object ID:14
Tracking Start:2018-11-09 19:06:14
2018-11-09 19:06:14[ 292.5   79.5]
2018-11-09 19:06:15[ 248.5  127.5]
Tracking End:2018-11-09 19:06:15

Object ID:15
Tracking Start:2018-11-09 19:06:32
2018-11-09 19:06:32[ 274.  311.]
